group,num_examples,reward_mean,reward_median,reward_min,reward_p25,reward_p75,reward_max,relevance_mean,relevance_median,relevance_min,relevance_p25,relevance_p75,relevance_max,factuality_mean,factuality_median,factuality_min,factuality_p25,factuality_p75,factuality_max,role_coverage_mean,role_coverage_median,role_coverage_min,role_coverage_p25,role_coverage_p75,role_coverage_max,urgency_mean,urgency_median,urgency_min,urgency_p25,urgency_p75,urgency_max
disaster=Collapse,40,0.6190411250053991,0.6111149407426516,0.35491812866595057,0.5451772425560788,0.6998880693068107,0.849798886179924,0.7803877852857113,0.7769348919391632,0.6741079539060593,0.7541208192706108,0.8056356459856033,0.8708539605140686,0.5136216006216006,0.5333333333333333,0.37777777777777777,0.475,0.5333333333333333,0.6230769230769231,0.5125,0.5,0.0,0.5,0.5,1.0,0.575,0.5,0.0,0.4,1.0,1.0
disaster=Earthquake,40,0.5910540566561825,0.5993158982350276,0.38688935637474053,0.5818576470017433,0.6148258370984542,0.8569392845034599,0.802510966360569,0.8010585606098175,0.7500712871551514,0.7830845043063164,0.8200052008032799,0.8626808822154999,0.5187008737199333,0.5182186234817814,0.4,0.475,0.5545454545454546,0.72,0.4875,0.5,0.0,0.5,0.5,1.0,0.41500000000000004,0.5,0.0,0.4,0.5,1.0
disaster=Derailment,34,0.5373345081426495,0.5753648591882143,0.35554070795575776,0.4861258337398369,0.6027501934021711,0.6705712263400738,0.7741355834638372,0.7707013189792633,0.7182115465402603,0.747423741966486,0.7968571186065674,0.8459031581878662,0.5447639019957359,0.5333333333333333,0.41666666666666663,0.5113461538461539,0.5692307692307692,0.7307692307692308,0.35294117647058826,0.5,0.0,0.0,0.5,0.5,0.2980392156862745,0.45,0.0,0.0,0.5,1.0
disaster=Explosion,33,0.6234016709154263,0.6045632137243564,0.3630677862465381,0.5799629446051338,0.6672150388360023,0.9162096351385116,0.7974359934980219,0.7958590090274811,0.7099001109600067,0.767589271068573,0.8416451215744019,0.8855989575386047,0.5408326564008382,0.5333333333333333,0.42727272727272725,0.49090909090909085,0.5692307692307692,0.85,0.5303030303030303,0.5,0.0,0.5,0.5,1.0,0.5151515151515151,0.5,0.0,0.4,1.0,1.0
disaster=Crash,32,0.5713499999758168,0.5726184923946858,0.41400177597999566,0.5406113213673234,0.5844437480514699,0.7466474365194639,0.7654205793514848,0.7608605921268463,0.7088673561811447,0.7488343454897404,0.7847305461764336,0.8350039720535278,0.5154778554778554,0.5333333333333333,0.3583333333333333,0.4869318181818182,0.5548076923076923,0.6733333333333333,0.453125,0.5,0.0,0.5,0.5,0.5,0.4197916666666667,0.4,0.0,0.4,0.5,1.0
disaster=Meteorite,29,0.5848825376631833,0.5992232846525999,0.3637872359156608,0.5583292192220688,0.6175038581093152,0.712718482544789,0.783417661128373,0.7930425405502319,0.6993414759635925,0.7725060880184174,0.8110637962818146,0.8532471060752869,0.5365385285212871,0.5153846153846154,0.43999999999999995,0.475,0.5333333333333333,0.9222222222222222,0.4482758620689655,0.5,0.0,0.5,0.5,0.5,0.43448275862068964,0.5,0.0,0.4,0.5,1.0
disaster=Shootings,23,0.6305876345708269,0.6244825308521589,0.4702257542312145,0.570462098237541,0.7008448116423993,0.7362423598766327,0.7775772725758345,0.763512134552002,0.6997705698013306,0.745467372238636,0.8097217381000519,0.853549599647522,0.5433075740684437,0.5333333333333333,0.41666666666666663,0.46527777777777773,0.59,0.9125,0.6304347826086957,0.5,0.5,0.5,0.75,1.0,0.4826086956521739,0.5,0.0,0.2,0.75,1.0
disaster=Bombings,18,0.5827915401470781,0.6003188171982765,0.3955950796604156,0.5691347160156477,0.6378037664294243,0.730202206770579,0.7857896818055047,0.7846425324678421,0.7221079170703888,0.7704193070530891,0.8005376607179642,0.8636729717254639,0.5332828282828282,0.51,0.42727272727272725,0.475,0.58875,0.7,0.4444444444444444,0.5,0.0,0.5,0.5,1.0,0.42777777777777776,0.5,0.0,0.4,0.5,1.0
disaster=Typhoon,15,0.5965836733310095,0.595777639746666,0.4793460314924066,0.5891700276822754,0.616117316732804,0.7458890110254288,0.7863363027572632,0.7878684401512146,0.6839219629764557,0.7667425274848938,0.8174868524074554,0.8453971743583679,0.5174638694638695,0.51,0.41666666666666663,0.475,0.5618881118881118,0.65,0.5333333333333333,0.5,0.5,0.5,0.5,1.0,0.4266666666666667,0.5,0.0,0.5,0.5,0.5
disaster=Haze,11,0.5608845024113266,0.47155477881431584,0.42283024966716765,0.46266454471482166,0.6631825314462185,0.808642441034317,0.8217682621695779,0.8282641172409058,0.7399206757545471,0.8144447356462479,0.8453231602907181,0.8720642924308777,0.43124426078971534,0.4,0.3,0.3888888888888889,0.475,0.58,0.36363636363636365,0.0,0.0,0.0,0.75,1.0,0.4636363636363637,0.4,0.4,0.4,0.4,1.0
disaster=Fire,10,0.5908382501190683,0.6129849659358011,0.38447289400630524,0.5106773602962493,0.6545518584262866,0.8242488709092141,0.8120947450399398,0.8007764965295792,0.7591639757156372,0.7911217659711838,0.8372548297047615,0.8757525086402893,0.5624203574203575,0.55,0.4555555555555555,0.5158333333333334,0.5736363636363636,0.7307692307692308,0.5,0.5,0.0,0.125,0.875,1.0,0.33,0.4,0.0,0.0,0.5,1.0
